full_title,url_stub,issn,product_id,change_history
Basic and Applied Ecology,basic-and-applied-ecology,14391791,10017,
Behavior Therapy,behavior-therapy,57894,4241,
Behaviour Research and Therapy,behaviour-research-and-therapy,57967,265,
Behavioural Brain Research,behavioural-brain-research,1664328,5014,
Behavioural Processes,behavioural-processes,3766357,5015,
Best Practice & Research Clinical Anaesthesiology,best-practice-and-research-clinical-anaesthesiology,15216896,12666,Formerly known as Baillière's Clinical Anaesthesiology
Best Practice & Research Clinical Endocrinology & Metabolism,best-practice-and-research-clinical-endocrinology-and-metabolism,1521690X,12667,Formerly known as Baillière's Clinical Endocrinology and Metabolism
Best Practice & Research Clinical Gastroenterology,best-practice-and-research-clinical-gastroenterology,15216918,12668,Formerly known as Baillière's Clinical Gastroenterology
Best Practice & Research Clinical Haematology,best-practice-and-research-clinical-haematology,15216926,12669,Formerly known as Baillière's Clinical Haematology
Best Practice & Research Clinical Obstetrics & Gynaecology,best-practice-and-research-clinical-obstetrics-and-gynaecology,15216934,12670,Formerly known as Baillière's Clinical Obstetrics and Gynaecology
Best Practice & Research Clinical Rheumatology,best-practice-and-research-clinical-rheumatology,15216942,12671,Formerly known as Baillière's Clinical Rheumatology
Big Data Research,big-data-research,22145796,7502,
Bioactive Carbohydrates and Dietary Fibre,bioactive-carbohydrates-and-dietary-fibre,22126198,8810,
Bioactive Materials,bioactive-materials,2452199X,18278,
Biocatalysis and Agricultural Biotechnology,biocatalysis-and-agricultural-biotechnology,18788181,12982,
Biochemical and Biophysical Research Communications,biochemical-and-biophysical-research-communications,0006291X,12009,
Biochemical Engineering Journal,biochemical-engineering-journal,1369703X,6049,Formerly part of The Chemical Engineering Journal and the Biochemical Engineering Journal
Biochemical Pharmacology,biochemical-pharmacology,62952,7505,
Biochemical Systematics and Ecology,biochemical-systematics-and-ecology,3051978,364,
Biochemistry and Biophysics Reports,biochemistry-and-biophysics-reports,24055808,18156,
Biochimica et Biophysica Acta - Bioenergetics,biochimica-et-biophysica-acta-bioenergetics,52728,5002,Formerly part of Biochimica et Biophysica Acta (BBA) - Biophysics including Photosynthesis; Incorporating Biochimica et Biophysica Acta (BBA) - Reviews on Bioenergetics
Biochimica et Biophysica Acta - Biomembranes,biochimica-et-biophysica-acta-biomembranes,52736,5003,Formerly part of Biochimica et Biophysica Acta (BBA) - Biophysics including Photosynthesis Incorporating Biochimica et Biophysica Acta (BBA) - Reviews on Biomembranes
Biochimica et Biophysica Acta - Gene Regulatory Mechanisms,biochimica-et-biophysica-acta-gene-regulatory-mechanisms,18749399,5005,Formerly known as Biochimica et Biophysica Acta (BBA) - Gene Structure and Expression
Biochimica et Biophysica Acta - General Subjects,biochimica-et-biophysica-acta-general-subjects,3044165,5006,Formerly known as Biochimica et Biophysica Acta
Biochimica et Biophysica Acta - Molecular Basis of Disease,biochimica-et-biophysica-acta-molecular-basis-of-disease,9254439,5008,
Biochimica et Biophysica Acta - Molecular and Cell Biology of Lipids,biochimica-et-biophysica-acta-molecular-and-cell-biology-of-lipids,13881981,5007,Formerly known as Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism
Biochimica et Biophysica Acta - Molecular Cell Research,biochimica-et-biophysica-acta-molecular-cell-research,1674889,5009,
Biochimica et Biophysica Acta - Proteins and Proteomics,biochimica-et-biophysica-acta-proteins-and-proteomics,15709639,5010,Formerly known as Biochimica et Biophysica Acta (BBA) - Protein Structure and Molecular Enzymology
Biochimica et Biophysica Acta - Reviews on Cancer,biochimica-et-biophysica-acta-reviews-on-cancer,0304419X,5012,
Biochimie,biochimie,3009084,9015,
Biochimie Open,biochimie-open,22140085,18107,
Biocybernetics and Biomedical Engineering,biocybernetics-and-biomedical-engineering,2085216,11011,
Bioelectrochemistry,bioelectrochemistry,15675394,6000,Formerly known as Bioelectrochemistry and Bioenergetics
Bioethics Update,bioethics-update,2395938X,14422,
Biofilm,biofilm,25902075,30094,
Biological Conservation,biological-conservation,63207,2008,
Biological Control,biological-control,10499644,12012,
Biological Psychiatry,biological-psychiatry,63223,7615,
Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,biological-psychiatry-cognitive-neuroscience-and-neuroimaging,24519022,18845,
Biological Psychology,biological-psychology,3010511,5016,
Biologicals,biologicals,10451056,12680,Formerly known as Journal of Biological Standardization
Biology of Blood and Marrow Transplantation,biology-of-blood-and-marrow-transplantation,10838791,13342,
Biomass and Bioenergy,biomass-and-bioenergy,9619534,986,
Biomaterials,biomaterials,1429612,3004,Incorporating Clinical Materials
Biomedical and Environmental Sciences,biomedical-and-environmental-sciences,8953988,6074,
Biomedical Journal,biomedical-journal,23194170,18329,
Biomedical Signal Processing and Control,biomedical-signal-processing-and-control,17468094,3099,
Biomedicine & Pharmacotherapy,biomedicine-and-pharmacotherapy,7533322,9018,
Biometric Technology Today,biometric-technology-today,9694765,2265,
Biomolecular Detection and Quantification,biomolecular-detection-and-quantification,22147535,10515,
Bioorganic Chemistry,bioorganic-chemistry,452068,12014,
Bioorganic & Medicinal Chemistry,bioorganic-and-medicinal-chemistry,9680896,129,
Bioorganic & Medicinal Chemistry Letters,bioorganic-and-medicinal-chemistry-letters,0960894X,972,
Biophysical Chemistry,biophysical-chemistry,3014622,5142,
Biophysical Journal,biophysical-journal,63495,13437,
Bioprinting,bioprinting,24058866,18290,
Bioresource Technology,bioresource-technology,9608524,2009,Formerly known as Biological Wastes; Incorporating Energy in Agriculture and Biomass
Bioresource Technology Reports,bioresource-technology-reports,2589014X,18417,
Biosafety and Health,biosafety-and-health,25900536,30040,
Biosensors and Bioelectronics,biosensors-and-bioelectronics,9565663,2062,Formerly known as Biosensors
Biosensors and Bioelectronics: X,biosensors-and-bioelectronics-x,25901370,18460,
Biosystems,biosystems,3032647,8005,
Biosystems Engineering,biosystems-engineering,15375110,12610,Formerly known as Journal of Agricultural Engineering Research
Biotechnology Advances,biotechnology-advances,7349750,7533,
Biotechnology Reports,biotechnology-reports,2215017X,17066,
Biotechnology Research and Innovation,biotechnology-research-and-innovation,24520721,11502,
Biotribology,biotribology,23525738,18087,
BJA Education,bja-education,20585349,18408,"Formerly known as Continuing Education in Anaesthesia, Critical Care & Pain"
"Blood Cells, Molecules, and Diseases",blood-cells-molecules-and-diseases,10799796,12011,
Blood Reviews,blood-reviews,0268960X,12724,
Body Image,body-image,17401445,4057,
Boletín de la Sociedad Española de Cerámica y Vidrio,boletin-de-la-sociedad-espanola-de-ceramica-y-vidrio,3663175,16885,
Bone,bone,87563282,7617,Formerly known as Metabolic Bone Disease and Related Research; Incorporating Bone and Mineral
Bone Reports,bone-reports,23521872,18748,
Borsa Istanbul Review,borsa-istanbul-review,22148450,8835,
Brachytherapy,brachytherapy,15384721,7501,
"Brain, Behavior, and Immunity",brain-behavior-and-immunity,8891591,12008,
Brain and Cognition,brain-and-cognition,2782626,12010,
Brain and Development,brain-and-development,3877604,5017,
Brain and Language,brain-and-language,0093934X,12015,
Brain Research,brain-research,68993,5018,"Incorporating Molecular Brain Research, Developmental Brain Research, Cognitive Brain Research, Brain Research Protocols and Brain Research Reviews"
Brain Research Bulletin,brain-research-bulletin,3619230,7507,
Brain Stimulation,brain-stimulation,1935861X,7809,
Brazilian Journal of Anesthesiology,brazilian-journal-of-anesthesiology,347094,15900,
The Brazilian Journal of Infectious Diseases,the-brazilian-journal-of-infectious-diseases,14138670,15901,
Brazilian Journal of Otorhinolaryngology,brazilian-journal-of-otorhinolaryngology,18088694,15905,
Brazilian Journal of Physical Therapy,brazilian-journal-of-physical-therapy,14133555,11506,
The Breast,the-breast,9609776,12725,
The British Accounting Review,the-british-accounting-review,8908389,12663,
British Journal of Anaesthesia,british-journal-of-anaesthesia,70912,18407,
British Journal of Oral and Maxillofacial Surgery,british-journal-of-oral-and-maxillofacial-surgery,2664356,12726,Formerly known as British Journal of Oral Surgery
BRQ Business Research Quarterly,business-research-quarterly,23409436,15789,Formerly known as Cuadernos de Economía y Dirección de la Empresa
Building and Environment,building-and-environment,3601323,296,Formerly known as Building Science
Bulletin de l'Académie Nationale de Médecine,bulletin-de-lacademie-nationale-de-medecine,14079,15400,
Bulletin du Cancer,bulletin-du-cancer,74551,16357,
Bulletin des Sciences Mathématiques,bulletin-des-sciences-mathematiques,74497,9019,
Burns,burns,3054179,3006,
Burns Open,burns-open,24689122,18384,
Business Horizons,business-horizons,76813,7402,
Cahiers de Nutrition et de Diététique,cahiers-de-nutrition-et-de-dietetique,79960,15441,
Calphad,calphad,3645916,254,
Canadian Association of Radiologists Journal,canadian-association-of-radiologists-journal,8465371,14036,
Canadian Journal of Cardiology,canadian-journal-of-cardiology,0828282X,14046,
Canadian Journal of Diabetes,canadian-journal-of-diabetes,14992671,14119,
Canadian Journal of Ophthalmology,canadian-journal-of-ophthalmology,84182,14106,
Cancer Cell,cancer-cell,15356108,7595,
Cancer Epidemiology,cancer-epidemiology,18777821,3022,Formerly known as Cancer Detection and Prevention
Cancer Genetics,cancer-genetics,22107762,7618,Formerly known as Cancer Genetics and Cytogenetics
Cancer Letters,cancer-letters,3043835,8006,
Cancer/Radiothérapie,cancer-radiotherapie,12783218,9020,Formerly known as Bulletin du Cancer/Radiothérapie
Cancer Treatment and Research Communications,cancer-treatment-and-research-communications,24682942,18010,Formerly known as Cancer Treatment Communications
Cancer Treatment Reviews,cancer-treatment-reviews,3057372,12645,Incorporating Evidence-based Oncology
Carbohydrate Polymers,carbohydrate-polymers,1448617,2011,
Carbohydrate Research,carbohydrate-research,86215,2162,
Carbon,carbon,86223,258,
Carbon Resources Conversion,carbon-resources-conversion,25889133,18419,
Cardiac Electrophysiology Clinics,cardiac-electrophysiology-clinics,18779182,12925,
Cardiology Clinics,cardiology-clinics,7338651,13203,
Cardiovascular Pathology,cardiovascular-pathology,10548807,7620,
Cardiovascular Revascularization Medicine,cardiovascular-revascularization-medicine,15538389,7641,Formerly known as Cardiovascular Radiation Medicine
CASE,case,24686441,18895,
Case Reports in Women's Health,case-reports-in-womens-health,22149112,17050,
Case Studies in Construction Materials,case-studies-in-construction-materials,22145095,17032,
Case Studies in Thermal Engineering,case-studies-in-thermal-engineering,2214157X,17011,
Case Studies on Transport Policy,case-studies-on-transport-policy,2213624X,10163,
Catalysis Communications,catalysis-communications,15667367,5570,
Catalysis Today,catalysis-today,9205861,5143,
CATENA,catena,3418162,5323,
Cell,cell,928674,7590,
